Wall time,Step,Value
1747085226.0282865,99,7.0931525230407715
1747085316.7081556,379,3.7657456398010254
1747085374.896564,559,2.9539945125579834
1747085459.9208171,819,3.0490081310272217
1747085506.0120032,959,2.9735724925994873
1747085512.602362,979,3.122988700866699
1747085604.9891505,1259,3.049315929412842
1747085611.6362169,1279,3.0669920444488525
1747085638.7883458,1359,3.1524767875671387
1747085666.8909297,1439,3.143588066101074
1747085771.8998494,1559,2.8728373050689697
1747085809.021371,1659,3.012305736541748
1747085860.7246273,1799,2.959623098373413
1747085934.7452805,1999,2.942093849182129
1747085965.2090304,2079,3.053354263305664
1747085995.4852588,2159,2.9596610069274902
1747086101.9161155,2439,2.9960222244262695
1747086132.6431077,2519,3.076524257659912
1747086140.3142858,2539,2.896637201309204
1747086155.665515,2579,2.925081968307495
1747086171.0462716,2619,3.027703285217285
1747086278.6586635,2899,2.986065149307251
1747086302.1364079,2959,3.048170804977417
1747086440.8755813,3159,2.9859702587127686
1747086463.7295625,3219,2.795644521713257
1747086479.4552372,3259,2.773653268814087
1747086494.838271,3299,2.9153404235839844
1747086556.5464551,3459,2.8834593296051025
1747086594.8789954,3559,2.859105348587036
1747086703.149412,3839,2.83898663520813
1747086795.5633967,4079,2.6087660789489746
1747086810.866149,4119,2.8799490928649902
1747086872.8477604,4279,2.724053382873535
1747087059.3290842,4599,2.88856840133667
1747087174.3757834,4899,2.774169445037842
1747087182.064149,4919,2.9517178535461426
1747087283.4008214,5179,2.681236982345581
1747087291.030167,5199,2.789729118347168
1747087383.4051228,5439,2.7690117359161377
1747087406.4195073,5499,2.804090976715088
1747087468.1578627,5659,2.7614662647247314
1747087491.2177715,5719,2.9310741424560547
1747087529.7026153,5819,2.8861453533172607
1747087568.0925903,5919,2.868800163269043
1747087731.3698585,6179,2.801757335662842
1747087793.5062673,6339,2.8814449310302734
1747087809.6216388,6379,2.713956117630005
1747087817.3705196,6399,2.871396541595459
1747087840.6027515,6459,2.7695906162261963
1747088018.0157464,6919,2.8502795696258545
1747088026.2438135,6939,2.7888545989990234
1747088118.4005456,7179,2.7468087673187256
1747088164.7892663,7299,2.7634057998657227
1747088172.5023446,7319,2.817730665206909
1747088180.130084,7339,2.7717299461364746
1747088335.5849187,7579,2.6493372917175293
1747088397.4653842,7739,2.612499237060547
1747088428.3168128,7819,2.9850265979766846
1747088443.8360605,7859,2.706385374069214
1747088520.9423726,8059,2.7690415382385254
1747088536.3117254,8099,2.8040688037872314
1747088622.0255477,8319,2.734495162963867
1747088676.28278,8459,2.796433448791504
1747088784.6609206,8739,2.901101589202881
1747088792.3283331,8759,2.671008825302124
1747088807.6947348,8799,2.84405255317688
1747088862.2491758,8939,2.8476693630218506
1747089041.0397587,9239,2.6954269409179688
1747089071.7021024,9319,2.6750400066375732
1747089141.7327073,9499,2.809110403060913
1747089149.4578185,9519,2.834057092666626
1747089188.0529265,9619,2.727635145187378
1747089195.6691494,9639,2.819774866104126
1747089241.7074223,9759,2.769465208053589
1747089420.533744,10219,2.800963878631592
1747089435.9620879,10259,2.6401000022888184
1747089443.7060473,10279,2.793452739715576
1747089451.4410899,10299,2.7382330894470215
1747089475.1359868,10359,2.6634838581085205
1747089490.512577,10399,2.8569247722625732
1747089661.2649705,10679,2.7740273475646973
1747089668.7973826,10699,2.7849225997924805
1747089684.0297432,10739,2.7788169384002686
1747089700.1185951,10779,2.6845266819000244
1747089715.4240556,10819,2.7158689498901367
1747089746.5767484,10899,2.721010208129883
1747089762.5303166,10939,2.768688440322876
1747089808.9853568,11059,2.6783463954925537
1747089839.8114007,11139,2.695368766784668
1747089886.3570383,11259,2.7551393508911133
1747089901.9202907,11299,2.5548009872436523
1747089932.5905712,11379,2.8483262062072754
1747090056.0891416,11699,2.733247756958008
1747090102.8782046,11819,2.7423295974731445
1747090134.3664346,11899,2.7453904151916504
1747090150.3172402,11939,2.8647546768188477
1747090352.1967447,12299,2.9107348918914795
1747090421.5890205,12479,2.77400541305542
1747090460.4862287,12579,2.8369221687316895
1747090468.7015433,12599,2.6780881881713867
1747090530.4113483,12759,2.704835891723633
1747090576.7602315,12879,2.5947844982147217
1747090584.345937,12899,2.696056842803955
1747090692.7347233,13179,2.729903221130371
1747090763.1065776,13359,2.8960490226745605
1747090824.256558,13519,2.567833185195923
1747090832.0721712,13539,2.775563955307007
1747091019.6408246,13859,2.749640703201294
1747091035.4325233,13899,2.6693203449249268
1747091244.636506,14439,2.7087807655334473
1747091259.906773,14479,2.597797393798828
1747091275.3203173,14519,2.590397357940674
1747091298.3556163,14579,2.6520180702209473
1747091321.86112,14639,2.71913480758667
1747091423.7280326,14899,2.794130802154541
1747091642.7679746,15299,2.7449727058410645
1747091727.9942522,15519,2.9033753871917725
1747091735.6917865,15539,2.7584049701690674
1747091782.4079187,15659,2.7911384105682373
