Wall time,Step,Value
1747085757.0908642,1512,15.581164360046387
1747086395.4218824,3025,19.31305694580078
1747087036.2901118,4538,21.797386169433594
1747087684.6147842,6051,22.485145568847656
1747088335.5852726,7564,22.461078643798828
1747088979.2279012,9077,23.833919525146484
1747089630.4794664,10590,23.841135025024414
1747090282.1881173,12103,23.270164489746094
1747090926.2855427,13616,23.42974853515625
1747091580.7962255,15129,25.631549835205078
1747092232.7121475,16642,26.868484497070312
1747092876.7310934,18155,24.358531951904297
1747093528.8552055,19668,25.734296798706055
1747094181.9700773,21181,25.188610076904297
1747094825.5427637,22694,26.343242645263672
1747095477.6452339,24207,26.646163940429688
1747096129.8952394,25720,26.93201446533203
1747096773.0465515,27233,26.51506805419922
1747097425.7770736,28746,26.441177368164062
1747098070.729956,30259,25.476577758789062
1747098721.778126,31772,26.596899032592773
1747099372.8433285,33285,27.788705825805664
1747100016.4154823,34798,25.51668357849121
1747100669.3314714,36311,27.200849533081055
1747101322.911668,37824,27.702890396118164
1747101967.7767074,39337,27.064695358276367
1747102616.9049613,40850,28.618980407714844
1747103267.641707,42363,26.561017990112305
1747103916.526648,43876,27.607894897460938
1747104568.6172662,45389,27.56438446044922
1747105220.6439624,46902,27.248374938964844
1747105870.0751703,48415,27.42894744873047
1747106518.4046476,49928,27.916711807250977
1747107175.683876,51441,27.22153663635254
1747107823.3158655,52954,27.359458923339844
1747108477.3959994,54467,27.937389373779297
1747109132.5943365,55980,28.48924446105957
1747109779.535555,57493,29.47671890258789
1747110433.216337,59006,28.81095314025879
1747111079.4646747,60519,28.3395938873291
1747111733.8761928,62032,27.22052001953125
1747112391.575469,63545,27.122303009033203
1747113040.2569869,65058,27.4365234375
1747113696.218118,66571,28.384132385253906
1747114351.4890518,68084,29.079326629638672
1747115000.7819777,69597,28.688749313354492
1747115656.857874,71110,28.20253562927246
1747116311.8343039,72623,27.318849563598633
1747116960.4012022,74136,28.979137420654297
1747117614.895407,75649,28.468547821044922
1747118273.114432,77162,29.7222957611084
1747118922.402436,78675,27.522218704223633
1747119578.8724964,80188,27.658830642700195
1747120237.4107153,81701,27.032594680786133
1747120887.4497216,83214,28.964561462402344
1747121547.0658007,84727,26.98581886291504
1747122207.4907553,86240,28.314056396484375
1747122858.8336425,87753,27.30030632019043
1747123516.8297834,89266,28.306734085083008
1747124168.5140502,90779,28.899036407470703
1747124826.4172132,92292,29.159748077392578
1747125482.5709927,93805,29.0010986328125
1747126138.4617524,95318,28.502859115600586
1747126795.3877795,96831,28.78749656677246
1747127450.0305033,98344,28.575088500976562
1747128107.4543219,99857,28.967182159423828
1747128764.0215943,101370,28.70368766784668
1747129420.4108956,102883,28.648967742919922
1747130079.3246539,104396,28.438045501708984
1747130736.5154376,105909,28.818391799926758
1747131394.2421937,107422,28.801347732543945
1747132054.5244749,108935,28.761241912841797
1747132712.5701065,110448,28.398948669433594
1747133370.122656,111961,28.50482177734375
1747134027.758212,113474,28.70931053161621
1747134687.4306493,114987,28.667625427246094
1747135354.4832816,116500,28.972200393676758
1747136008.9037132,118013,28.99692153930664
1747136669.2284002,119526,29.006481170654297
1747137320.586951,121039,28.615434646606445
1747137980.921385,122552,28.685544967651367
1747138640.8510091,124065,28.727487564086914
1747139292.9417312,125578,28.726762771606445
1747139950.733315,127091,28.6597957611084
1747140608.8387136,128604,28.640045166015625
1747141266.7340145,130117,28.69469451904297
1747141927.0558777,131630,28.770404815673828
1747142583.3072677,133143,28.66305923461914
1747143242.39872,134656,28.701480865478516
1747143899.2978902,136169,28.743675231933594
1747144557.8834734,137682,28.66357421875
1747145216.82155,139195,28.702592849731445
1747145876.9223504,140708,28.66436195373535
1747146535.277351,142221,28.750364303588867
1747147194.2697573,143734,28.62957191467285
1747147853.9647589,145247,28.83957862854004
1747148515.2092283,146760,28.689786911010742
1747149174.5700278,148273,28.74916648864746
1747149835.0017004,149786,28.53729248046875
1747150496.3704212,151299,28.808454513549805
1747150560.1830304,151300,28.808454513549805
