epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,633.317,1.52679,1.71328,1.02686,0.53969,0.50397,0.53075,0.32783,1.4553,1.47134,1.01825,0.00333168,0.00333168,0.00333168
2,1222.93,1.63277,1.53359,1.04848,0.56317,0.45073,0.44213,0.26658,1.59651,1.55985,1.05869,0.00659903,0.00659903,0.00659903
3,1810.15,1.77452,1.70278,1.09938,0.39554,0.31143,0.28575,0.1454,1.68545,1.75253,1.11769,0.00980038,0.00980038,0.00980038
4,2396.3,1.83045,1.77654,1.12123,0.49004,0.37755,0.36648,0.20315,1.67364,1.70787,1.1068,0.009703,0.009703,0.009703
5,2982.49,1.78053,1.68195,1.10931,0.4531,0.43483,0.4334,0.25457,1.59889,1.61473,1.07767,0.009604,0.009604,0.009604
6,3568.04,1.72491,1.62391,1.09434,0.53295,0.46727,0.47807,0.28139,1.56933,1.5558,1.06432,0.009505,0.009505,0.009505
7,4154.16,1.68859,1.5676,1.08192,0.63894,0.44039,0.49684,0.29803,1.54869,1.46451,1.06229,0.009406,0.009406,0.009406
8,4740.55,1.6528,1.52181,1.06801,0.55202,0.48838,0.52353,0.31401,1.51893,1.41429,1.05343,0.009307,0.009307,0.009307
9,5327.21,1.62317,1.4984,1.06499,0.61734,0.49024,0.52936,0.3176,1.49241,1.41781,1.04539,0.009208,0.009208,0.009208
10,5913.8,1.61722,1.46788,1.05754,0.64906,0.52034,0.5798,0.35094,1.48734,1.34712,1.03731,0.009109,0.009109,0.009109
11,6500.63,1.58967,1.44298,1.05137,0.66283,0.51533,0.58203,0.35487,1.45787,1.34131,1.02629,0.00901,0.00901,0.00901
12,7087.62,1.57267,1.41694,1.0458,0.64558,0.50871,0.57376,0.36194,1.44245,1.33183,1.02486,0.008911,0.008911,0.008911
