epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,26619.9,1.32626,1.01647,0.96723,0.75415,0.61584,0.69846,0.47972,1.29239,1.06758,0.98121,0.005842,0.005842,0.005842
44,27240.6,1.32858,1.0156,0.96486,0.77207,0.61297,0.70665,0.48277,1.29105,1.06363,0.98021,0.005743,0.005743,0.005743
45,27861,1.32044,1.00902,0.9663,0.79473,0.61251,0.70737,0.4891,1.29049,1.065,0.98192,0.005644,0.005644,0.005644
46,28482.4,1.30959,0.99843,0.9622,0.76676,0.63669,0.71499,0.49227,1.28677,1.06012,0.97885,0.005545,0.005545,0.005545
47,29103.8,1.30122,0.98808,0.95771,0.75912,0.62364,0.70292,0.48695,1.28721,1.06586,0.97852,0.005446,0.005446,0.005446
48,29724.7,1.30109,0.97065,0.96104,0.77868,0.63535,0.70438,0.48376,1.28715,1.05736,0.98137,0.005347,0.005347,0.005347
49,30345.6,1.29874,0.96371,0.95804,0.78108,0.61777,0.71057,0.49353,1.28491,1.05399,0.98225,0.005248,0.005248,0.005248
50,30959.7,1.28994,0.96025,0.95639,0.77554,0.61102,0.71207,0.49253,1.28612,1.05472,0.98112,0.005149,0.005149,0.005149
51,31580.5,1.2891,0.95413,0.95378,0.81596,0.58713,0.70719,0.48826,1.28596,1.0608,0.98163,0.00505,0.00505,0.00505
52,32200.9,1.28255,0.94411,0.95225,0.80739,0.60659,0.70614,0.4882,1.28775,1.05694,0.98266,0.004951,0.004951,0.004951
53,32821.7,1.27582,0.92251,0.95124,0.7649,0.62307,0.70403,0.48943,1.28404,1.06449,0.98235,0.004852,0.004852,0.004852
54,33442.5,1.26769,0.91971,0.94903,0.73493,0.6425,0.7123,0.49924,1.28408,1.06084,0.98167,0.004753,0.004753,0.004753
55,34064.1,1.26202,0.91384,0.94549,0.74084,0.63384,0.7086,0.49936,1.28363,1.06644,0.98032,0.004654,0.004654,0.004654
56,34684.9,1.26068,0.90382,0.94465,0.75867,0.62041,0.70747,0.49373,1.28469,1.07106,0.98044,0.004555,0.004555,0.004555
57,35302.5,1.25483,0.89341,0.94634,0.76808,0.62362,0.71129,0.49455,1.28346,1.06638,0.98138,0.004456,0.004456,0.004456
58,35920.2,1.24456,0.88444,0.94264,0.79098,0.61109,0.71364,0.49776,1.28544,1.06701,0.98247,0.004357,0.004357,0.004357
59,36537.8,1.24052,0.87393,0.939,0.77571,0.61676,0.70783,0.49625,1.2867,1.07021,0.98311,0.004258,0.004258,0.004258
60,37146.1,1.23225,0.86698,0.93862,0.78036,0.62673,0.7067,0.49354,1.29048,1.0691,0.98686,0.004159,0.004159,0.004159
61,37754.3,1.22792,0.86219,0.938,0.78171,0.61998,0.70861,0.49595,1.29025,1.06863,0.98782,0.00406,0.00406,0.00406
62,38362.6,1.22469,0.85209,0.932,0.76722,0.64008,0.70905,0.49455,1.29197,1.07047,0.98809,0.003961,0.003961,0.003961
63,38982.7,1.2195,0.8429,0.93242,0.75876,0.63959,0.7072,0.49527,1.29581,1.0731,0.98902,0.003862,0.003862,0.003862
64,39603.1,1.21253,0.83345,0.93155,0.7575,0.64269,0.70734,0.49454,1.2952,1.07399,0.98898,0.003763,0.003763,0.003763
